dni,nombre,direccion,telefono,tarea,fecha_inicio,fecha_finalizado,monto_viatico,costo_obra,monto_seguro_vida
11111111A,Javier Perez,Calle Principal 123,123456789,carpinteria,2022-01-01,2022-02-28,200,200000,10000
22222222B,Marina Lopez,Avenida Central 456,987654321,electricidad,2022-02-15,2022-03-31,150,50000,8000
33333333C,Carlos Gonzalez,Plaza Mayor 789,456123789,plomeria,2022-03-01,2022-05-31,180,80000,12000
44444444D,Lucia Fernandez,Calle Secundaria 456,321987654,carpinteria,2022-04-01,2022-06-30,220,60000,10000
55555555E,Andres Martinez,Avenida Principal 789,654987321,electricidad,2022-05-15,2022-08-31,200,140000,9000
66666666F,Laura Ramirez,Calle Central 123,789321654,plomeria,2022-06-01,2022-07-31,150,100000,6000
77777777G,Santiago Rodriguez,Avenida Secundaria 456,987123654,carpinteria,2022-07-15,2022-09-30,180,80000,8000
88888888H,Marta Sanchez,Plaza Central 789,123456987,electricidad,2022-08-01,2022-11-30,200,120000,11000
99999999I,Eduardo Torres,Calle Principal 123,654321987,plomeria,2022-09-15,2022-10-31,170,90000,7000
00000000J,Pedro Gomez,Avenida Central 456,321654987,carpinteria,2022-10-01,2022-12-31,190,180000,10000
